date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month
01/10/2013,"'Cuirt Eigis', Rahylin Glebe, Ballybane",Galway,,"€770,925.11",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"'Rathlee', Amana Estate, Ballina",Mayo,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"1  Ard na Mul, Lis na Dara, Carrick Rd.  Dundalk",Louth,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"1 Cypress Grove Road, Templeogue",Dublin,,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"1 Glenarm Avenue, Drumcondra",Dublin,,"€398,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"1 Tullymongan, Cavan",Cavan,,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"1 & 2 Beechdale Mews, Palmerston Road",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"10 Ardkeen, Cavan",Cavan,,"€88,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"12 McGrath Park, Church Road, Blackrock",Cork,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"127 oranmore road, ballyfermot, dublin 10",Dublin,,"€121,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"13 FLOWERHILL CRESCENT, NAVAN, CO MEATH",Meath,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"136 Ti Neill, Gleann na Ri, Renmore",Galway,,"€51,168.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"14 Temple Hill Lawn, Ballintemple",Cork,,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"149 Heathervue, Greystones",Wicklow,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"152 Grange Hall, Dunshaughlin",Meath,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
01/10/2013,"16 Abhann Dubh, Patrick Street, Portarlington",Laois,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,,2013,10
