date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month,ber_rating,bedrooms,bathrooms,floor_area
01/03/2026,"104 CUIRT SEOIGE, BOHERMORE, GALWAY",Galway,H91NY74,"€86,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2026,3,,2.0,1.0,
01/03/2026,"BROOKLAWN, CLONROAD, ENNIS",Clare,V95WDH7,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C3,3.0,2.0,119.0
02/03/2026,"1-12 Rathárd Park, 1-8 Rathárd Lawn, Longview  Ballyvolane",Cork,,"€5,794,005.29",No,Yes,New Dwelling house /Apartment,,2026,3,A1,4.0,,127.0
02/03/2026,"1 BLOCK 7 GATEWAY APTS, BELLIINODE, CO SLIGO",Sligo,F91ND86,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C2,2.0,1.0,64.48
02/03/2026,"1 St. Furseys Lane, Dublin Road, Dundalk",Louth,,"€436,123.34",No,Yes,New Dwelling house /Apartment,,2026,3,A3,3.0,2.0,132.0
02/03/2026,"1 THE ALDERS, LACKANALOOHA, MALLOW",Cork,P51H21W,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C1,4.0,,123.26
02/03/2026,"10-11 BRIDGE ST, WESTPORT, CO MAYO",Mayo,F28W942,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,F,,,1.0
02/03/2026,"10 FAIRFIELD COURT, MONTREE, ATHLONE",Westmeath,N37E166,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,2.0,1.0,48.0
02/03/2026,"10 Hazel Lawn, Kilcarbery Grange",Dublin,,"€383,259.91",No,Yes,New Dwelling house /Apartment,,2026,3,,3.0,,
02/03/2026,"100 THE HEATH, RAMSGATE VILLAGE, GOREY",Wexford,Y25DY71,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C1,2.0,3.0,72.0
02/03/2026,"104 BLACKDITCH RD, BALLYFERMOT, DUBLIN 10",Dublin,D10PK64,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,B3,3.0,1.0,72.0
02/03/2026,"11 ANGLESEA TERRACE, CORK, CORK",Cork,T12A6XF,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,G,3.0,,90.0
02/03/2026,"11 ARDBRAE PARK, BAYLOUGH, ATHLONE",Westmeath,N37W2Y4,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"11 ARLINGTON RD, BLACKTHORN HILLS, FERRYBANK",Kilkenny,X91N8WK,"€288,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C2,3.0,3.0,
02/03/2026,"11 BEAL AN INBHIR, SHANAKYLE RD, KILRUSH",Clare,V15EV97,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"11 Mason Cross Green, Newcastle",Dublin,D22Y07V,"€519,823.79",No,Yes,New Dwelling house /Apartment,,2026,3,A2,3.0,3.0,106.0
02/03/2026,"11 STONEPARK ORCHARD, RATHFARNHAM, DUBLIN 14",Dublin,D14FT72,"€1,075,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,B3,4.0,5.0,170.0
02/03/2026,"113 PEARSE RD, BALLYPHEHANE, CORK",Cork,T12Y227,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,D1,3.0,2.0,112.0
02/03/2026,"114 Ard Raithni, Barna",Galway,,"€396,476.00",No,Yes,New Dwelling house /Apartment,,2026,3,A2,,,
02/03/2026,"119 The Beeches, Navenny, Ballybofey",Donegal,,"€281,938.00",No,Yes,New Dwelling house /Apartment,,2026,3,,4.0,3.0,125.0
02/03/2026,"12 NEWBROOK GROVE, NEWBROOK, MULLINGAR",Westmeath,N91E9V4,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,G,4.0,3.0,
02/03/2026,"12 ODONOGHUE TERRACE, WOODQUAY, GALWAY",Galway,H91H7DN,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,F,2.0,,86.2
02/03/2026,"12 PORTOBELLO HARBOUR, PORTOBELLO, DUBLIN 8",Dublin,D08X3H4,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,E1,5.0,3.0,115.0
